target_sku;platform;api_sku;status;note;api_revenue;api_units;api_name;all_platforms;source_modes;first_date;last_date
"";"ozon";"khvoinitsa_1_1";"active";"API without registry pair; Ozon";"8154";"13";"khvoinitsa_1_1";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-02";"2026-05-14"
"";"ya";"sinergel_30ml_1_1";"active";"API without registry pair; Yandex Market";"7794";"9";"sinergel_30ml_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"goldapple";"shampun_protiv_perho";"active";"API without registry pair; Gold Apple";"7490";"10";"Шампунь от перхоти лечебный с климбазолом Алтея, 250мл";"??";"SKU_месяцы";"2026-05-01";"2026-05-15"
"";"wb";"activeprost";"active";"API without registry pair; WB";"7160";"11";"activeprost";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"wbvaritox";"active";"API without registry pair; WB";"6484";"9";"wbvaritox";"WB, ?.??????";"wb-api-direct-sku, yandex-market-api-direct-sku";"2026-05-02";"2026-05-14"
"";"ya";"wbvaritox";"active";"API without registry pair; Yandex Market";"6300";"9";"wbvaritox";"WB, ?.??????";"wb-api-direct-sku, yandex-market-api-direct-sku";"2026-05-02";"2026-05-14"
"";"ya";"urolgan";"active";"API without registry pair; Yandex Market";"6174";"9";"urolgan";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"wbgetsizegel";"active";"API without registry pair; WB";"6044";"13";"wbgetsizegel";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"kavmaz";"active";"API without registry pair; Yandex Market";"5922";"9";"kavmaz";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"brutalax";"active";"API without registry pair; Yandex Market";"5616";"12";"brutalax";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"kardicin_1_1_1";"active";"API without registry pair; Yandex Market";"5160";"3";"kardicin_1_1_1";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"mycoplax_1_1";"active";"API without registry pair; Ozon";"5148";"6";"mycoplax_1_1";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"varifit_1_1";"active";"API without registry pair; Yandex Market";"5016";"6";"varifit_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"fbs_yagodniy_spas";"active";"API without registry pair; Yandex Market";"4860";"6";"Антипаразитарный комплекс от глистов и паразитов, очищение организма, от гельминтов, детокс, Алтея, Ягодный спас, 10 таб";"?.??????";"yandex-market-api-direct-sku";"2026-05-13";"2026-05-15"
"";"wb";"urolgan";"active";"API without registry pair; WB";"4505";"9";"urolgan";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"vetonus_100ml";"active";"API without registry pair; Yandex Market";"3960";"6";"vetonus_100ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"psoral";"active";"API without registry pair; WB";"3890";"5";"psoral";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"dardrakona";"active";"API without registry pair; Yandex Market";"3486";"6";"dardrakona";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"erobrut";"active";"API without registry pair; WB";"3395";"5";"erobrut";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"vetonus";"active";"API without registry pair; Yandex Market";"3342";"6";"vetonus";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"wbpantogor_1_1";"active";"API without registry pair; WB";"2973";"2";"wbpantogor_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-02";"2026-05-14"
"";"ya";"papiderm";"active";"API without registry pair; Yandex Market";"2916";"6";"papiderm";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-13"
"";"goldapple";"tonik_dlya_lica_200m";"active";"API without registry pair; Gold Apple";"2828";"4";"Тоник для лица очищающий, увлажняющий тонер, лосьон от пигментации, от прыщей и акне, черных точек д";"??";"SKU_месяцы";"2026-05-01";"2026-05-15"
"";"wb";"artoks_1_1";"active";"API without registry pair; WB";"2807";"2";"artoks_1_1";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"varifit_1_1";"active";"API without registry pair; WB";"2629";"2";"varifit_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"wbmicelix";"active";"API without registry pair; Yandex Market";"2619";"3";"wbmicelix";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"wbpantogor_1_1";"active";"API without registry pair; Yandex Market";"2388";"3";"wbpantogor_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-02";"2026-05-14"
"";"ya";"varifit";"active";"API without registry pair; Yandex Market";"1971";"3";"varifit";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"psoral";"active";"API without registry pair; Yandex Market";"1764";"3";"psoral";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"dardrakona_75ml";"active";"API without registry pair; Ozon";"1340";"4";"dardrakona_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-14"
"";"goldapple";"nabor_penka_dlya_res";"active";"API without registry pair; Gold Apple";"1318";"2";"Пенка для очищения ресниц, торговая марка Алтея.";"??";"SKU_месяцы";"2026-05-01";"2026-05-15"
"";"wb";"khvoinitsa";"active";"API without registry pair; WB";"1252";"2";"khvoinitsa";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-04";"2026-05-15"
"";"ozon";"4094166081";"active";"API without registry pair; Ozon";"1077";"1";"4094166081";"Ozon";"ozon-api-direct-sku";"2026-05-03";"2026-05-03"
"";"wb";"wbgetsize";"active";"API without registry pair; WB";"984";"1";"wbgetsize";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"wbalkotoxic";"active";"API without registry pair; Ozon";"511";"1";"wbalkotoxic";"Ozon";"ozon-api-direct-sku";"2026-05-06";"2026-05-06"
"";"wb";"otz_fbs6_curly_method_300ml";"active";"API without registry pair; WB";"367";"1";"otz_fbs6_curly_method_300ml";"WB";"wb-api-direct-sku";"2026-05-06";"2026-05-06"
"";"ozon";"4143253129";"active";"API without registry pair; Ozon";"240";"1";"4143253129";"Ozon";"ozon-api-direct-sku";"2026-05-04";"2026-05-04"
