target_sku;platform;api_sku;status;note;api_revenue;api_units;api_name;all_platforms;source_modes;first_date;last_date
"";"ozon";"psoral_50ml";"active";"API without registry pair; Ozon";"38593";"61";"psoral_50ml";"WB, Ozon, ?.??????, ??";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku, SKU_месяцы";"2026-05-01";"2026-05-15"
"";"ozon";"wbgetsize";"active";"API without registry pair; Ozon";"38009";"65";"wbgetsize";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"artoks_75ml";"active";"API without registry pair; WB";"37700";"29";"artoks_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"optitrin";"active";"API without registry pair; Yandex Market";"37659";"63";"Витамины для глаз и зрения с лютеином и черникой, глазные капли Оптитрин, капли для глаз, 7 ампул";"?.??????";"yandex-market-api-direct-sku";"2026-05-01";"2026-05-13"
"";"ozon";"wbpantogor_1_1";"active";"API without registry pair; Ozon";"37430";"32";"wbpantogor_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-02";"2026-05-14"
"";"wb";"gemorekt";"active";"API without registry pair; WB";"37366";"56";"gemorekt";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"okucin";"active";"API without registry pair; Yandex Market";"37296";"36";"okucin";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"dardrakona_1_1";"active";"API without registry pair; WB";"34721";"32";"dardrakona_1_1";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"cardicin_bad_60caps";"active";"API without registry pair; Yandex Market";"34557";"39";"cardicin_bad_60caps";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"wbmicelix_1_1";"active";"API without registry pair; Ozon";"34276";"44";"wbmicelix_1_1";"Ozon";"ozon-api-direct-sku";"2026-05-01";"2026-05-15"
