action;target_sku;platform;api_sku;status;note;api_revenue;api_units;api_name;all_platforms;first_date;last_date;suggested_target_sku;suggested_confidence;suggested_name;decision_comment
"";"";"ozon";"dolgar";"active";"API SKU without registry pair";"40247";"116";"dolgar";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"vetonus_1_1";"active";"API SKU without registry pair";"38866";"35";"vetonus_1_1";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"erobrut";"active";"API SKU without registry pair";"36627";"71";"erobrut";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"allicil_gribok15ml";"active";"API SKU without registry pair";"35572";"108";"allicil_gribok15ml";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"psoral_50ml";"active";"API SKU without registry pair";"33904";"39";"psoral_50ml";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"khvoinitsa";"active";"API SKU without registry pair";"29013";"62";"khvoinitsa";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"wbbiotrin";"active";"API SKU without registry pair";"28974";"33";"wbbiotrin";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"khvoinitsa_1_1";"active";"API SKU without registry pair";"27897";"44";"khvoinitsa_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"psoral";"active";"API SKU without registry pair";"26328";"43";"psoral";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"uromax_1_1";"active";"API SKU without registry pair";"23462";"13";"uromax_1_1";"wb";"2026-05-02";"2026-05-27";"";"";"";""
"";"";"wb";"psoral";"active";"API SKU without registry pair";"23452";"31";"psoral";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"papiderm";"active";"API SKU without registry pair";"22693";"60";"papiderm";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"dardrakona";"active";"API SKU without registry pair";"22439";"29";"dardrakona";"wb";"2026-05-02";"2026-05-28";"";"";"";""
"";"";"wb";"dolgar";"active";"API SKU without registry pair";"22201";"32";"dolgar";"wb";"2026-05-03";"2026-05-27";"";"";"";""
"";"";"wb";"activeprost";"active";"API SKU without registry pair";"21905";"30";"activeprost";"wb";"2026-05-04";"2026-05-28";"";"";"";""
"";"";"ozon";"vetonus_1_1";"active";"API SKU without registry pair";"21454";"30";"vetonus_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"arterol_1_1";"active";"API SKU without registry pair";"21183";"24";"arterol_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"fruitalica";"active";"API SKU without registry pair";"21061";"59";"fruitalica";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"khvoinitsa_1_1";"active";"API SKU without registry pair";"19235";"15";"khvoinitsa_1_1";"wb";"2026-05-04";"2026-05-27";"";"";"";""
"";"";"wb";"wbvaritox";"active";"API SKU without registry pair";"18015";"24";"wbvaritox";"wb";"2026-05-02";"2026-05-28";"";"";"";""
"";"";"ozon";"mycoplax_1_1";"active";"API SKU without registry pair";"16625";"21";"mycoplax_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
